"","X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","SMCSamplerExperiments.mainRand","SMCSamplerExperiments.alphaSMCSampler","gen.rand","gen.treeRate","SMCSamplerExperiments.iterScalings","gen.useNonclock","Method"
"108","ANNEALING","ANNEALING TRUE",0,4796,100,0,"PartitionMetric",2,"sim--1290527867.msf",81235,333,0.99999,1001,10,"100 200000","true"," ASMC"
"109","ANNEALING","ANNEALING TRUE",0,4796,100,0,"RobinsonFouldsMetric",0.061650173671603,"sim--1290527867.msf",81235,333,0.99999,1001,10,"100 200000","true"," ASMC"
"110","ANNEALING","ANNEALING TRUE",0,4796,100,0,"KuhnerFelsenstein",0.000522381415292315,"sim--1290527867.msf",81235,333,0.99999,1001,10,"100 200000","true"," ASMC"
"111","ANNEALING","ANNEALING FALSE",0,4796,100,0,"ConsensusLogLL",-1361.19995235557,"sim--1290527867.msf",125184,333,0.99999,1001,10,"100 200000","true"," DASMC"
"113","ANNEALING","ANNEALING FALSE",0,4796,100,0,"PartitionMetric",2,"sim--1290527867.msf",125184,333,0.99999,1001,10,"100 200000","true"," DASMC"
"114","ANNEALING","ANNEALING FALSE",0,4796,100,0,"RobinsonFouldsMetric",0.0676234151181692,"sim--1290527867.msf",125184,333,0.99999,1001,10,"100 200000","true"," DASMC"
"115","ANNEALING","ANNEALING FALSE",0,4796,100,0,"KuhnerFelsenstein",0.000545534513668992,"sim--1290527867.msf",125184,333,0.99999,1001,10,"100 200000","true"," DASMC"
"116","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1362.1185446858,"sim--1290527867.msf",191311,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"118","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",2,"sim--1290527867.msf",191311,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"119","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.0641534634696309,"sim--1290527867.msf",191311,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"120","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000452695468096141,"sim--1290527867.msf",191311,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"121","ANNEALING","ANNEALING TRUE",0,4769,100,0,"ConsensusLogLL",-1841.39617436831,"sim-1407959047.msf",106977,333,0.99999,1001,10,"100 200000","true"," ASMC"
"123","ANNEALING","ANNEALING TRUE",0,4769,100,0,"PartitionMetric",0,"sim-1407959047.msf",106977,333,0.99999,1001,10,"100 200000","true"," ASMC"
"124","ANNEALING","ANNEALING TRUE",0,4769,100,0,"RobinsonFouldsMetric",0.0973532485157966,"sim-1407959047.msf",106977,333,0.99999,1001,10,"100 200000","true"," ASMC"
"125","ANNEALING","ANNEALING TRUE",0,4769,100,0,"KuhnerFelsenstein",0.000992768056432474,"sim-1407959047.msf",106977,333,0.99999,1001,10,"100 200000","true"," ASMC"
"126","ANNEALING","ANNEALING FALSE",0,4769,100,0,"ConsensusLogLL",-1841.08704809354,"sim-1407959047.msf",139318,333,0.99999,1001,10,"100 200000","true"," DASMC"
"128","ANNEALING","ANNEALING FALSE",0,4769,100,0,"PartitionMetric",0,"sim-1407959047.msf",139318,333,0.99999,1001,10,"100 200000","true"," DASMC"
"129","ANNEALING","ANNEALING FALSE",0,4769,100,0,"RobinsonFouldsMetric",0.0919734863718597,"sim-1407959047.msf",139318,333,0.99999,1001,10,"100 200000","true"," DASMC"
"130","ANNEALING","ANNEALING FALSE",0,4769,100,0,"KuhnerFelsenstein",0.000878520720224922,"sim-1407959047.msf",139318,333,0.99999,1001,10,"100 200000","true"," DASMC"
"131","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1844.48018380565,"sim-1407959047.msf",212755,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"133","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim-1407959047.msf",212755,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"134","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.0833038066907002,"sim-1407959047.msf",212755,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"135","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000795837947043599,"sim-1407959047.msf",212755,333,0.99999,1001,10,"100 200000","true","CSMC-Nonclock"
"136","ANNEALING","ANNEALING TRUE",0,5518,100,0,"ConsensusLogLL",-2218.97450325392,"sim--1703538915.msf",162953,333,0.99999,8001,10,"100 200000","true"," ASMC"
"138","ANNEALING","ANNEALING TRUE",0,5518,100,0,"PartitionMetric",0,"sim--1703538915.msf",162953,333,0.99999,8001,10,"100 200000","true"," ASMC"
"139","ANNEALING","ANNEALING TRUE",0,5518,100,0,"RobinsonFouldsMetric",0.139928999833588,"sim--1703538915.msf",162953,333,0.99999,8001,10,"100 200000","true"," ASMC"
"140","ANNEALING","ANNEALING TRUE",0,5518,100,0,"KuhnerFelsenstein",0.00237548640873744,"sim--1703538915.msf",162953,333,0.99999,8001,10,"100 200000","true"," ASMC"
"141","ANNEALING","ANNEALING FALSE",0,5518,100,0,"ConsensusLogLL",-2219.99987641656,"sim--1703538915.msf",147021,333,0.99999,8001,10,"100 200000","true"," DASMC"
"143","ANNEALING","ANNEALING FALSE",0,5518,100,0,"PartitionMetric",0,"sim--1703538915.msf",147021,333,0.99999,8001,10,"100 200000","true"," DASMC"
"144","ANNEALING","ANNEALING FALSE",0,5518,100,0,"RobinsonFouldsMetric",0.138913741436767,"sim--1703538915.msf",147021,333,0.99999,8001,10,"100 200000","true"," DASMC"
"145","ANNEALING","ANNEALING FALSE",0,5518,100,0,"KuhnerFelsenstein",0.00243541647431725,"sim--1703538915.msf",147021,333,0.99999,8001,10,"100 200000","true"," DASMC"
"146","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-2220.24260034948,"sim--1703538915.msf",154290,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"148","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim--1703538915.msf",154290,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"149","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.153033741436767,"sim--1703538915.msf",154290,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"150","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.00335913901040892,"sim--1703538915.msf",154290,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"151","ANNEALING","ANNEALING TRUE",0,4960,100,0,"ConsensusLogLL",-1689.29470264899,"sim--1730963368.msf",90779,333,0.99999,8001,10,"100 200000","true"," ASMC"
"153","ANNEALING","ANNEALING TRUE",0,4960,100,0,"PartitionMetric",0,"sim--1730963368.msf",90779,333,0.99999,8001,10,"100 200000","true"," ASMC"
"154","ANNEALING","ANNEALING TRUE",0,4960,100,0,"RobinsonFouldsMetric",0.0660915346611587,"sim--1730963368.msf",90779,333,0.99999,8001,10,"100 200000","true"," ASMC"
"155","ANNEALING","ANNEALING TRUE",0,4960,100,0,"KuhnerFelsenstein",0.000514469012621393,"sim--1730963368.msf",90779,333,0.99999,8001,10,"100 200000","true"," ASMC"
"156","ANNEALING","ANNEALING FALSE",0,4960,100,0,"ConsensusLogLL",-1689.13097700107,"sim--1730963368.msf",151155,333,0.99999,8001,10,"100 200000","true"," DASMC"
"158","ANNEALING","ANNEALING FALSE",0,4960,100,0,"PartitionMetric",0,"sim--1730963368.msf",151155,333,0.99999,8001,10,"100 200000","true"," DASMC"
"159","ANNEALING","ANNEALING FALSE",0,4960,100,0,"RobinsonFouldsMetric",0.0697581080311537,"sim--1730963368.msf",151155,333,0.99999,8001,10,"100 200000","true"," DASMC"
"160","ANNEALING","ANNEALING FALSE",0,4960,100,0,"KuhnerFelsenstein",0.00062264025105078,"sim--1730963368.msf",151155,333,0.99999,8001,10,"100 200000","true"," DASMC"
"161","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1694.04470038465,"sim--1730963368.msf",218028,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"163","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",0,"sim--1730963368.msf",218028,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"164","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.078732147699883,"sim--1730963368.msf",218028,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"165","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.000641101245950496,"sim--1730963368.msf",218028,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"166","ANNEALING","ANNEALING TRUE",0,4935,100,0,"ConsensusLogLL",-1789.99870040903,"sim-1629297433.msf",103334,333,0.99999,8001,10,"100 200000","true"," ASMC"
"168","ANNEALING","ANNEALING TRUE",0,4935,100,0,"PartitionMetric",0,"sim-1629297433.msf",103334,333,0.99999,8001,10,"100 200000","true"," ASMC"
"169","ANNEALING","ANNEALING TRUE",0,4935,100,0,"RobinsonFouldsMetric",0.0970296008064433,"sim-1629297433.msf",103334,333,0.99999,8001,10,"100 200000","true"," ASMC"
"170","ANNEALING","ANNEALING TRUE",0,4935,100,0,"KuhnerFelsenstein",0.00115681764157017,"sim-1629297433.msf",103334,333,0.99999,8001,10,"100 200000","true"," ASMC"
"171","ANNEALING","ANNEALING FALSE",0,4935,100,0,"ConsensusLogLL",-1789.55469709062,"sim-1629297433.msf",100522,333,0.99999,8001,10,"100 200000","true"," DASMC"
"173","ANNEALING","ANNEALING FALSE",0,4935,100,0,"PartitionMetric",0,"sim-1629297433.msf",100522,333,0.99999,8001,10,"100 200000","true"," DASMC"
"174","ANNEALING","ANNEALING FALSE",0,4935,100,0,"RobinsonFouldsMetric",0.0874962758062665,"sim-1629297433.msf",100522,333,0.99999,8001,10,"100 200000","true"," DASMC"
"175","ANNEALING","ANNEALING FALSE",0,4935,100,0,"KuhnerFelsenstein",0.000851863940272656,"sim-1629297433.msf",100522,333,0.99999,8001,10,"100 200000","true"," DASMC"
"176","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-1790.09939494097,"sim-1629297433.msf",207577,333,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
