"","#treeName","pi_1","pi_2","pi_3","pi_4","r_1","r_2","r_3","r_4","r_5","r_6","alpha","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"54","sim--1315931464.msf.Rep0",0.254481068982671,0.230877714935525,0.240990689049931,0.240990689049931,0.167349626707207,0.179601748269759,0.181774132219239,0.162573057165518,0.15192252607658,0.156778909561697,7.83507297432858,7181,0.99995,1000,10,291,10,"100 100000 100 100000 100 100000"
"55","sim--358166503.msf.Rep0",0.220598565390831,0.267453574916514,0.241966735418538,0.241966735418538,0.156899153546554,0.170783694079187,0.152937493189872,0.185265803040228,0.170959725826134,0.163154130318024,3.55984948278324,7181,0.99995,1000,10,247,10,"100 100000 100 100000 100 100000"
"56","sim-993257773.msf.Rep0",0.256482961142858,0.256667033500985,0.233205568563553,0.233205568563553,0.168065026932384,0.154862268405865,0.156729104584623,0.163136020888989,0.153441578545421,0.203766000642718,2.38215931496479,7181,0.99995,1000,10,290,10,"100 100000 100 100000 100 100000"
"57","sim-857324820.msf.Rep0",0.23080055145186,0.199852081520761,0.285034867084916,0.285034867084916,0.204591945654296,0.186529952740822,0.12837737043153,0.17930143796895,0.138674851167771,0.162524442036631,5.11685046589418,7181,0.99995,1000,10,283,10,"100 100000 100 100000 100 100000"
"58","sim-1504147178.msf.Rep0",0.234134320946162,0.300903232033876,0.202649661888199,0.202649661888199,0.175856414786523,0.147272774381339,0.187377112036793,0.159985708232433,0.15153814211936,0.177969848443553,2.80050825339939,7181,0.99995,1000,10,279,10,"100 100000 100 100000 100 100000"
"59","sim-379277824.msf.Rep0",0.23560903004954,0.26980060648457,0.189350596592315,0.189350596592315,0.171194782822834,0.15087884629512,0.135576232482224,0.169257129639234,0.173821863463382,0.199271145297206,3.68034603911667,7181,0.99995,1000,10,233,10,"100 100000 100 100000 100 100000"
"60","sim--158219702.msf.Rep0",0.239124724539684,0.240390986452471,0.281493682571293,0.281493682571293,0.135535714112153,0.184894938006955,0.195974888175139,0.169668420101349,0.161490875683163,0.15243516392124,6.71042072534949,7181,0.99995,1000,10,272,10,"100 100000 100 100000 100 100000"
"61","sim-55866645.msf.Rep0",0.232697134742496,0.263266496091546,0.224442271406323,0.224442271406323,0.196839312103629,0.129589497196893,0.189656263934919,0.162229844556747,0.143821253396982,0.17786382881083,6.31214345727293,7181,0.99995,1000,10,239,10,"100 100000 100 100000 100 100000"
"62","sim-288655855.msf.Rep0",0.270368253812776,0.211809280294363,0.240890089130732,0.240890089130732,0.151302462940863,0.169952647027987,0.206959194717824,0.161191595930592,0.176335852864668,0.134258246518066,8.7573027430151,7181,0.99995,1000,10,243,10,"100 100000 100 100000 100 100000"
"63","sim--1283089055.msf.Rep0",0.229793267044406,0.261773196842425,0.268554229491662,0.268554229491662,0.149558230136823,0.147346836642499,0.161063551858029,0.205951995868715,0.187886688581327,0.148192696912608,0.799304231958415,7181,0.99995,1000,10,234,10,"100 100000 100 100000 100 100000"
"64","sim-198033886.msf.Rep0",0.226707239034223,0.251315929514116,0.278113780170921,0.278113780170921,0.172088400778648,0.147634823992886,0.156165323320887,0.157125408142509,0.185955597515548,0.181030446249522,11.3547397686111,7181,0.99995,1000,10,213,10,"100 100000 100 100000 100 100000"
"65","sim--772199651.msf.Rep0",0.218735040546154,0.260501177092633,0.258964830994884,0.258964830994884,0.165009914216901,0.171569512799193,0.161889854937485,0.181290071868224,0.174429788669834,0.145810857508361,1.89657496656623,7181,0.99995,1000,10,223,10,"100 100000 100 100000 100 100000"
"66","sim-10555661.msf.Rep0",0.228257598688137,0.254746465533477,0.289612714073751,0.289612714073751,0.146740551105013,0.177867631628213,0.157513516686441,0.189468707246225,0.149509556920832,0.178900036413276,0.398187631250651,7181,0.99995,1000,10,226,10,"100 100000 100 100000 100 100000"
"67","sim--959677876.msf.Rep0",0.225641356286964,0.247037396538733,0.281278494989211,0.281278494989211,0.138433506234268,0.163504253627896,0.164705867181696,0.167803620963072,0.180744387063252,0.184808364929816,2.86953890648537,7181,0.99995,1000,10,228,10,"100 100000 100 100000 100 100000"
