"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","false",0,12238,1000,4,"RobinsonFouldsMetric",0.351393415729959,"sim-1121221206.msf",14739599
"ANNEALING","false",0,12238,1000,4,"KuhnerFelsenstein",0.00426277384183959,"sim-1121221206.msf",14739599
"ANNEALING","true",0,12313,1000,0,"ConsensusLogLL",-28044.0223035724,"sim-1121221206.msf",18000799
"ANNEALING","true",0,12313,1000,0,"BestSampledLogLL",-28060.2036927439,"sim-1121221206.msf",18000799
"ANNEALING","true",0,12313,1000,0,"PartitionMetric",0,"sim-1121221206.msf",18000799
"ANNEALING","true",0,12313,1000,0,"RobinsonFouldsMetric",0.332155659630504,"sim-1121221206.msf",18000799
"ANNEALING","true",0,12313,1000,0,"KuhnerFelsenstein",0.00371169750553859,"sim-1121221206.msf",18000799
"ANNEALING","false",0,12313,1000,0,"ConsensusLogLL",-28044.2622392985,"sim-1121221206.msf",17637579
"ANNEALING","false",0,12313,1000,0,"BestSampledLogLL",-28060.8987623579,"sim-1121221206.msf",17637579
"ANNEALING","false",0,12313,1000,0,"PartitionMetric",0,"sim-1121221206.msf",17637579
"ANNEALING","false",0,12313,1000,0,"RobinsonFouldsMetric",0.347319255248082,"sim-1121221206.msf",17637579
"ANNEALING","false",0,12313,1000,0,"KuhnerFelsenstein",0.00387941840304522,"sim-1121221206.msf",17637579
